"Timestamp","Are you still together?","How long were you and your partner together? Please answer in months, and if you are still together please enter 240.","How big was your hometown?","How big was your partner's hometown?","Highschool GPA","Partner's Highschool GPA","How many siblings do you have?","How many siblings does your partner have?","How many jobs have you held?","How many close friends did you have in High School?","How many close friends did your partner have in High School?","How many close friends do you have in College?","How much do you like star wars?","How much does your partner like star wars?","How attractive do you consider yourself?","How Attractive is your partner?","How trendy are you?","How trendy is your partner?","How creative are you?","How creative is your partner?","How traumatic was your childhood?","How traumatic was your partner's childhood?","How much do you weigh?","How much does your partner weigh?","How athletic are you?","How athletic is your partner?","How much do you like animals?","How much does your partner like animals?","How social and outgoing are you?","How social and outgoing is your partner?"
"2022/04/30 9:59:12 PM EST","Yes","240","5","8","9","8","3","3","3","2","4","4","9","9","7","7","8","1","8","9","3","6","5","6","4","5","9","9","7","4"
"2022/04/30 10:00:03 PM EST","No","24","3","3","8","7","6","2","3","3","5","5","6","6","7","5","5","7","7","5","6","4","7","3","6","7","9","5","7","5"
"2022/04/30 10:01:28 PM EST","Yes","240","2","6","9","9","9","4","5","4","2","4","8","3","6","7","7","6","7","7","2","4","5","7","5","3","7","8","7","3"
"2022/04/30 10:05:54 PM EST","Yes","240","4","2","9","9","4","3","4","5","2","9","9","8","8","9","4","6","4","6","3","6","6","5","4","2","9","9","9","3"
"2022/04/30 10:06:10 PM EST","No","69","4","6","7","5","3","3","4","3","5","3","6","8","6","4","4","5","9","6","8","6","2","7","5","4","9","5","2","9"
"2022/04/30 10:09:00 PM EST","No","2","5","1","9","9","3","3","2","6","3","9","9","9","9","9","7","5","8","3","7","7","5","5","6","5","9","9","9","9"
"2022/04/30 10:15:43 PM EST","No","18 ","4","4","9","9","3","4","4","2","3","4","1","5","8","4","5","1","8","6","3","2","4","4","6","3","4","4","6","2"
"2022/04/30 10:20:22 PM EST","No","3","3","7","9","3","1","4","2","3","5","5","2","5","6","2","6","1","6","3","1","1","2","2","6","4","7","7","7","4"
"2022/04/30 10:34:38 PM EST","No","18","6","7","9","9","2","4","3","5","6","7","7","6","7","9","6","6","5","7","6","5","4","3","7","7","7","9","6","8"
"2022/04/30 10:35:03 PM EST","Yes","240","5","3","8","9","2","1","3","3","2","3","4","7","5","9","4","3","7","5","6","3","3","2","6","4","5","7","3","3"
"2022/04/30 10:39:18 PM EST","No","21","7","7","9","8","1","3","4","8","3","8","3","5","9","8","7","9","6","8","4","7","6","4","8","6","9","6","9","9"
"2022/04/30 10:41:32 PM EST","Yes","12","6","3","7","9","6","1","4","4","3","6","9","4","6","6","7","3","3","4","3","4","4","5","7","4","4","8","6","3"
"2022/04/30 10:41:39 PM EST","No","6","6","6","7","8","5","1","3","2","6","6","5","8","7","6","4","8","6","9","2","5","5","3","6","4","7","8","9","6"
"2022/04/30 10:46:47 PM EST","Yes","240","5","7","8","9","2","4","2","4","9","3","8","4","3","9","1","3","6","6","1","4","9","4","3","5","9","9","4","7"
"2022/04/30 10:51:38 PM EST","Yes","240","3","3","8","9","3","1","2","3","1","3","4","9","6","6","1","1","6","8","6","9","2","6","4","6","7","5","7","4"
"2022/04/30 11:01:04 PM EST","No","6","4","4","7","9","4","2","3","4","4","3","2","6","6","8","6","9","8","6","9","6","3","4","7","8","9","8","8","4"
"2022/04/30 11:10:51 PM EST","Yes","240","7","8","8","9","6","1","4","2","4","3","7","3","7","9","4","7","3","7","2","3","3","2","6","3","5","8","3","9"
